Date,Product,Category,Region,UnitPrice,UnitsSold,Revenue
2026-02-07,Keyboard,Accessories,West,217,6,1302
2026-05-19,Laptop,Electronics,North,1167,6,7002
2026-07-27,Keyboard,Accessories,East,679,4,2716
2026-05-27,Smartphone,Electronics,East,166,4,664
2026-04-06,Monitor,Electronics,North,948,8,7584
2026-05-08,Smartphone,Electronics,West,660,9,5940
2026-06-27,Smartphone,Electronics,East,282,9,2538
2026-03-01,Laptop,Electronics,South,916,5,4580
2026-02-06,Headphones,Accessories,East,28,9,252
2026-04-09,Headphones,Accessories,West,227,3,681
2026-05-28,Laptop,Electronics,West,647,1,647
2026-07-19,Monitor,Electronics,South,123,4,492
2026-04-22,Laptop,Electronics,East,172,2,344
2026-05-08,Smartphone,Electronics,South,841,3,2523
2026-07-27,Keyboard,Accessories,North,180,4,720
2026-02-02,Keyboard,Accessories,West,1178,3,3534
2026-05-25,Laptop,Electronics,West,479,3,1437
2026-04-29,Keyboard,Accessories,East,457,8,3656
2026-01-27,Headphones,Accessories,South,817,1,817
2026-01-28,Laptop,Electronics,North,1039,3,3117
2026-01-04,Headphones,Accessories,West,1092,1,1092
2026-06-21,Monitor,Electronics,South,496,5,2480
2026-01-06,Headphones,Accessories,West,1080,8,8640
2026-04-03,Laptop,Electronics,South,200,3,600
2026-07-07,Laptop,Electronics,West,210,5,1050
2026-06-09,Laptop,Electronics,West,147,2,294
2026-01-25,Smartphone,Electronics,East,585,3,1755
2026-04-14,Smartphone,Electronics,West,873,7,6111
2026-07-13,Headphones,Accessories,South,804,8,6432
2026-06-10,Laptop,Electronics,East,265,7,1855
2026-06-19,Smartphone,Electronics,East,940,8,7520
2026-01-13,Monitor,Electronics,South,922,9,8298
2026-02-05,Keyboard,Accessories,West,340,8,2720
2026-05-24,Monitor,Electronics,East,490,2,980
2026-03-07,Headphones,Accessories,North,594,6,3564
2026-02-27,Smartphone,Electronics,South,324,4,1296
2026-06-19,Headphones,Accessories,West,632,1,632
2026-01-08,Keyboard,Accessories,West,1023,5,5115
2026-04-13,Monitor,Electronics,South,896,4,3584
2026-04-04,Headphones,Accessories,East,955,4,3820
2026-05-24,Keyboard,Accessories,South,655,3,1965
2026-05-25,Headphones,Accessories,West,1101,7,7707
2026-03-31,Keyboard,Accessories,South,136,7,952
2026-05-07,Laptop,Electronics,West,1032,1,1032
2026-02-27,Smartphone,Electronics,North,821,6,4926
2026-02-17,Laptop,Electronics,West,916,7,6412
2026-07-11,Keyboard,Accessories,South,880,7,6160
2026-07-14,Monitor,Electronics,South,1016,6,6096
2026-07-04,Keyboard,Accessories,South,1112,1,1112
2026-04-04,Monitor,Electronics,North,931,5,4655
2026-02-08,Monitor,Electronics,North,376,7,2632
2026-01-10,Keyboard,Accessories,West,821,4,3284
2026-05-18,Smartphone,Electronics,East,461,1,461
2026-03-10,Keyboard,Accessories,West,1059,8,8472
2026-03-21,Smartphone,Electronics,North,915,4,3660
2026-06-01,Monitor,Electronics,South,399,1,399
2026-06-10,Keyboard,Accessories,East,1086,2,2172
2026-02-04,Laptop,Electronics,South,795,2,1590
2026-04-25,Laptop,Electronics,East,845,5,4225
2026-04-24,Keyboard,Accessories,East,432,8,3456
2026-06-13,Laptop,Electronics,North,1040,9,9360
2026-06-13,Smartphone,Electronics,North,476,8,3808
2026-07-11,Headphones,Accessories,North,1142,4,4568
2026-07-29,Laptop,Electronics,East,115,8,920
2026-05-31,Keyboard,Accessories,West,298,9,2682
2026-04-09,Laptop,Electronics,South,81,4,324
2026-04-22,Laptop,Electronics,South,416,3,1248
2026-06-26,Monitor,Electronics,West,464,9,4176
2026-05-27,Monitor,Electronics,North,474,4,1896
2026-03-24,Smartphone,Electronics,East,163,5,815
2026-03-10,Headphones,Accessories,West,1068,4,4272
2026-05-03,Keyboard,Accessories,West,1194,9,10746
2026-02-08,Keyboard,Accessories,North,1085,7,7595
2026-05-22,Smartphone,Electronics,North,752,2,1504
2026-03-17,Laptop,Electronics,South,973,1,973
2026-01-07,Keyboard,Accessories,West,189,9,1701
2026-06-27,Headphones,Accessories,South,48,5,240
2026-06-15,Headphones,Accessories,West,519,1,519
2026-03-12,Laptop,Electronics,North,1175,4,4700
2026-03-11,Monitor,Electronics,East,464,6,2784
2026-06-16,Headphones,Accessories,South,58,3,174
2026-06-22,Keyboard,Accessories,South,1101,4,4404
2026-07-19,Keyboard,Accessories,East,1044,3,3132
2026-07-24,Monitor,Electronics,South,524,1,524
2026-06-02,Laptop,Electronics,South,1160,6,6960
2026-02-27,Monitor,Electronics,North,691,5,3455
2026-03-21,Keyboard,Accessories,East,783,5,3915
2026-06-13,Headphones,Accessories,East,66,9,594
2026-02-18,Laptop,Electronics,North,675,7,4725
2026-07-04,Headphones,Accessories,West,755,8,6040
2026-04-12,Monitor,Electronics,West,687,5,3435
2026-01-08,Smartphone,Electronics,West,695,8,5560
2026-07-05,Monitor,Electronics,South,559,5,2795
2026-02-10,Monitor,Electronics,West,521,1,521
2026-07-20,Laptop,Electronics,North,480,3,1440
2026-05-14,Smartphone,Electronics,East,275,5,1375
2026-02-16,Laptop,Electronics,South,29,8,232
2026-01-30,Smartphone,Electronics,East,896,5,4480
2026-04-29,Laptop,Electronics,South,1108,2,2216
2026-06-26,Headphones,Accessories,North,82,9,738
2026-03-27,Headphones,Accessories,East,708,1,708
2026-04-08,Laptop,Electronics,East,530,1,530
2026-05-29,Monitor,Electronics,North,728,5,3640
2026-04-12,Headphones,Accessories,North,1066,5,5330
2026-02-22,Keyboard,Accessories,South,102,1,102
2026-03-26,Laptop,Electronics,South,20,3,60
2026-06-22,Keyboard,Accessories,West,468,1,468
2026-02-01,Smartphone,Electronics,West,114,8,912
2026-02-08,Smartphone,Electronics,South,693,6,4158
2026-04-28,Headphones,Accessories,East,287,1,287
2026-02-23,Monitor,Electronics,North,1009,9,9081
2026-05-25,Keyboard,Accessories,North,597,3,1791
2026-04-13,Monitor,Electronics,South,825,2,1650
2026-04-08,Smartphone,Electronics,South,878,3,2634
2026-07-10,Smartphone,Electronics,West,268,6,1608
2026-03-20,Monitor,Electronics,South,778,3,2334
2026-03-22,Keyboard,Accessories,North,919,8,7352
2026-05-25,Smartphone,Electronics,North,1003,5,5015
2026-02-03,Keyboard,Accessories,South,224,3,672
2026-04-21,Laptop,Electronics,East,867,6,5202
2026-05-24,Monitor,Electronics,West,919,8,7352
2026-01-25,Headphones,Accessories,West,686,2,1372
2026-03-02,Smartphone,Electronics,East,1048,2,2096
2026-04-02,Smartphone,Electronics,North,553,5,2765
2026-03-11,Laptop,Electronics,North,252,2,504
2026-06-26,Smartphone,Electronics,North,1116,9,10044
2026-02-16,Laptop,Electronics,South,258,8,2064
2026-04-04,Headphones,Accessories,East,67,1,67
2026-01-26,Monitor,Electronics,North,27,1,27
2026-04-09,Keyboard,Accessories,West,738,8,5904
2026-01-14,Smartphone,Electronics,West,97,8,776
2026-05-10,Keyboard,Accessories,South,545,8,4360
2026-04-25,Headphones,Accessories,East,938,2,1876
2026-02-07,Headphones,Accessories,East,1058,9,9522
2026-04-29,Keyboard,Accessories,West,733,7,5131
2026-07-04,Laptop,Electronics,East,105,9,945
2026-05-25,Keyboard,Accessories,West,44,4,176
2026-05-18,Headphones,Accessories,North,128,2,256
2026-04-21,Monitor,Electronics,East,53,8,424
2026-06-17,Laptop,Electronics,West,614,9,5526
2026-04-11,Monitor,Electronics,South,334,6,2004
2026-05-01,Laptop,Electronics,North,681,5,3405
2026-07-17,Monitor,Electronics,South,862,8,6896
2026-02-24,Laptop,Electronics,East,918,3,2754
2026-01-31,Keyboard,Accessories,West,939,6,5634
2026-03-07,Monitor,Electronics,West,94,4,376
2026-03-20,Laptop,Electronics,South,523,6,3138
2026-06-28,Laptop,Electronics,South,866,8,6928
2026-01-26,Headphones,Accessories,North,345,6,2070
2026-03-09,Headphones,Accessories,West,244,4,976
2026-04-23,Monitor,Electronics,East,20,6,120
2026-02-06,Headphones,Accessories,East,864,3,2592
2026-06-10,Smartphone,Electronics,West,29,5,145
2026-05-31,Smartphone,Electronics,West,917,8,7336
2026-05-10,Monitor,Electronics,North,348,1,348
2026-01-09,Headphones,Accessories,East,1138,1,1138
2026-03-10,Monitor,Electronics,West,353,5,1765
2026-04-30,Headphones,Accessories,North,607,3,1821
2026-02-04,Laptop,Electronics,West,937,8,7496
2026-01-11,Laptop,Electronics,North,289,3,867
2026-08-01,Keyboard,Accessories,North,870,4,3480
2026-03-30,Keyboard,Accessories,South,108,2,216
2026-02-09,Headphones,Accessories,North,441,1,441
2026-01-23,Laptop,Electronics,North,164,1,164
2026-07-13,Keyboard,Accessories,West,123,3,369
2026-02-08,Headphones,Accessories,South,598,7,4186
2026-06-28,Smartphone,Electronics,West,1058,1,1058
2026-06-04,Monitor,Electronics,North,569,9,5121
2026-04-07,Keyboard,Accessories,North,970,1,970
2026-07-15,Smartphone,Electronics,South,536,1,536
2026-04-28,Keyboard,Accessories,East,834,4,3336
2026-04-19,Monitor,Electronics,West,34,8,272
2026-01-05,Keyboard,Accessories,East,343,2,686
2026-06-04,Headphones,Accessories,East,813,5,4065
2026-05-28,Headphones,Accessories,South,891,6,5346
2026-05-14,Smartphone,Electronics,South,382,8,3056
2026-07-09,Smartphone,Electronics,North,1012,8,8096
2026-03-01,Headphones,Accessories,West,1023,4,4092
2026-03-09,Keyboard,Accessories,West,146,1,146
2026-04-02,Smartphone,Electronics,North,1033,3,3099
2026-01-29,Laptop,Electronics,South,798,7,5586
2026-01-01,Keyboard,Accessories,North,439,6,2634
2026-02-26,Laptop,Electronics,East,586,3,1758
2026-06-17,Keyboard,Accessories,East,988,5,4940
2026-05-17,Smartphone,Electronics,West,332,5,1660
2026-06-03,Laptop,Electronics,East,594,4,2376
2026-01-25,Smartphone,Electronics,East,405,7,2835
2026-07-29,Headphones,Accessories,South,366,1,366
2026-05-08,Headphones,Accessories,East,895,3,2685
2026-07-01,Laptop,Electronics,East,729,5,3645
2026-03-29,Laptop,Electronics,North,304,6,1824
2026-06-03,Monitor,Electronics,South,1092,7,7644
2026-03-22,Monitor,Electronics,North,708,4,2832
2026-04-28,Monitor,Electronics,East,580,7,4060
2026-01-01,Keyboard,Accessories,South,234,3,702
2026-05-03,Headphones,Accessories,South,51,1,51
2026-06-22,Keyboard,Accessories,South,1187,8,9496
2026-01-19,Smartphone,Electronics,North,609,3,1827
2026-06-24,Smartphone,Electronics,South,521,1,521
2026-04-24,Headphones,Accessories,East,944,7,6608
2026-04-13,Headphones,Accessories,West,797,3,2391
2026-04-20,Smartphone,Electronics,West,106,7,742
2026-02-01,Smartphone,Electronics,East,1051,1,1051
2026-02-26,Headphones,Accessories,West,462,8,3696
2026-02-23,Laptop,Electronics,East,598,3,1794
2026-04-07,Monitor,Electronics,East,115,8,920
2026-03-19,Headphones,Accessories,West,471,4,1884
2026-06-14,Keyboard,Accessories,South,754,7,5278
2026-06-25,Smartphone,Electronics,East,349,7,2443
2026-06-10,Keyboard,Accessories,East,934,4,3736
2026-01-29,Monitor,Electronics,South,533,1,533
2026-02-16,Keyboard,Accessories,West,765,2,1530
2026-07-14,Monitor,Electronics,West,280,5,1400
2026-06-15,Laptop,Electronics,South,1096,3,3288
2026-03-27,Monitor,Electronics,West,612,8,4896
2026-02-28,Laptop,Electronics,South,1158,1,1158
2026-01-14,Laptop,Electronics,West,256,9,2304
2026-04-13,Laptop,Electronics,South,513,4,2052
2026-06-03,Smartphone,Electronics,North,1152,2,2304
2026-02-06,Headphones,Accessories,South,1189,5,5945
2026-02-11,Monitor,Electronics,North,953,2,1906
2026-01-17,Keyboard,Accessories,North,1017,7,7119
2026-04-27,Smartphone,Electronics,South,46,9,414
2026-01-31,Headphones,Accessories,West,629,9,5661
2026-02-22,Smartphone,Electronics,North,941,5,4705
2026-07-09,Smartphone,Electronics,South,149,6,894
2026-04-17,Laptop,Electronics,East,712,4,2848
2026-04-25,Smartphone,Electronics,North,168,8,1344
2026-01-11,Monitor,Electronics,North,206,7,1442
2026-02-23,Smartphone,Electronics,East,642,8,5136
2026-05-30,Keyboard,Accessories,West,770,4,3080
2026-07-30,Headphones,Accessories,West,977,2,1954
2026-07-20,Smartphone,Electronics,South,92,9,828
2026-02-09,Laptop,Electronics,North,80,8,640
2026-02-11,Laptop,Electronics,East,150,2,300
2026-04-18,Monitor,Electronics,East,121,2,242
2026-01-12,Headphones,Accessories,North,1087,1,1087
2026-07-08,Laptop,Electronics,South,31,8,248
2026-03-24,Keyboard,Accessories,North,393,6,2358
2026-07-19,Laptop,Electronics,South,1132,9,10188
2026-04-19,Smartphone,Electronics,East,797,7,5579
2026-05-25,Smartphone,Electronics,North,1129,7,7903
2026-01-14,Keyboard,Accessories,East,156,3,468
2026-06-25,Smartphone,Electronics,East,746,2,1492
2026-04-26,Headphones,Accessories,South,634,1,634
2026-01-14,Headphones,Accessories,West,207,2,414
2026-05-11,Keyboard,Accessories,East,955,7,6685
2026-04-18,Laptop,Electronics,West,1001,9,9009
2026-05-21,Smartphone,Electronics,North,35,2,70
2026-02-24,Headphones,Accessories,South,565,7,3955
2026-01-13,Keyboard,Accessories,South,1082,4,4328
2026-01-29,Laptop,Electronics,North,337,5,1685
2026-07-04,Monitor,Electronics,East,396,9,3564
2026-04-13,Monitor,Electronics,North,596,1,596
2026-01-03,Keyboard,Accessories,South,395,2,790
2026-03-09,Smartphone,Electronics,South,312,9,2808
2026-06-25,Laptop,Electronics,North,604,1,604
2026-05-01,Monitor,Electronics,West,206,5,1030
2026-03-02,Keyboard,Accessories,East,729,7,5103
2026-07-03,Headphones,Accessories,South,245,9,2205
2026-07-18,Monitor,Electronics,West,904,3,2712
2026-04-20,Smartphone,Electronics,East,245,9,2205
2026-06-18,Laptop,Electronics,South,278,8,2224
2026-01-06,Keyboard,Accessories,North,73,7,511
2026-06-26,Laptop,Electronics,East,1063,1,1063
2026-03-02,Headphones,Accessories,South,438,2,876
2026-03-23,Laptop,Electronics,West,22,3,66
2026-01-13,Keyboard,Accessories,East,1132,9,10188
2026-03-09,Keyboard,Accessories,South,971,3,2913
2026-05-03,Monitor,Electronics,North,940,2,1880
2026-03-17,Smartphone,Electronics,North,59,9,531
2026-01-05,Headphones,Accessories,East,1003,6,6018
2026-03-13,Headphones,Accessories,North,933,6,5598
2026-02-06,Monitor,Electronics,West,992,5,4960
2026-07-24,Laptop,Electronics,South,1083,3,3249
2026-07-05,Headphones,Accessories,West,1083,2,2166
2026-02-09,Headphones,Accessories,North,235,3,705
2026-03-21,Monitor,Electronics,North,590,9,5310
2026-01-13,Headphones,Accessories,North,375,6,2250
2026-07-07,Keyboard,Accessories,East,576,9,5184
2026-01-31,Smartphone,Electronics,South,691,5,3455
2026-06-07,Smartphone,Electronics,West,608,7,4256
2026-07-13,Keyboard,Accessories,South,1156,9,10404
2026-01-17,Smartphone,Electronics,West,467,8,3736
2026-04-19,Headphones,Accessories,West,486,7,3402
2026-03-15,Laptop,Electronics,West,1013,5,5065
2026-01-22,Monitor,Electronics,West,503,2,1006
2026-03-09,Headphones,Accessories,West,1060,6,6360
2026-05-25,Smartphone,Electronics,South,724,6,4344
2026-04-30,Headphones,Accessories,South,325,4,1300
2026-06-29,Keyboard,Accessories,West,1050,1,1050
2026-05-14,Headphones,Accessories,East,589,7,4123
2026-01-26,Smartphone,Electronics,South,757,4,3028
2026-07-28,Headphones,Accessories,North,58,7,406
2026-01-29,Keyboard,Accessories,East,903,2,1806
2026-06-24,Monitor,Electronics,South,868,8,6944
2026-04-02,Keyboard,Accessories,North,322,5,1610
2026-07-06,Monitor,Electronics,South,589,6,3534
2026-01-15,Smartphone,Electronics,North,1028,9,9252
2026-01-24,Monitor,Electronics,South,511,8,4088
2026-03-01,Laptop,Electronics,North,539,2,1078
2026-07-18,Headphones,Accessories,North,979,5,4895
2026-01-24,Monitor,Electronics,South,918,4,3672
2026-02-15,Laptop,Electronics,South,225,7,1575
2026-01-17,Monitor,Electronics,West,540,6,3240
2026-06-25,Laptop,Electronics,West,745,6,4470
2026-04-27,Smartphone,Electronics,West,603,1,603
2026-03-13,Keyboard,Accessories,South,357,6,2142
2026-02-01,Headphones,Accessories,North,748,1,748
2026-04-12,Laptop,Electronics,West,798,6,4788
2026-06-28,Laptop,Electronics,North,607,9,5463
2026-02-15,Monitor,Electronics,West,692,8,5536
2026-06-09,Smartphone,Electronics,West,21,1,21
2026-02-02,Laptop,Electronics,North,608,4,2432
2026-06-03,Smartphone,Electronics,South,890,2,1780
2026-05-23,Smartphone,Electronics,South,906,1,906
2026-04-14,Headphones,Accessories,North,654,6,3924
2026-01-09,Laptop,Electronics,East,242,9,2178
2026-04-24,Monitor,Electronics,West,1127,7,7889
2026-07-22,Monitor,Electronics,West,919,6,5514
2026-02-27,Smartphone,Electronics,East,534,9,4806
2026-07-07,Smartphone,Electronics,South,990,2,1980
2026-01-12,Monitor,Electronics,North,141,3,423
2026-02-24,Monitor,Electronics,North,328,7,2296
2026-02-01,Headphones,Accessories,West,933,3,2799
2026-05-30,Keyboard,Accessories,West,331,9,2979
2026-02-28,Headphones,Accessories,West,774,3,2322
2026-07-08,Keyboard,Accessories,South,372,7,2604
2026-03-17,Laptop,Electronics,South,178,8,1424
2026-05-28,Keyboard,Accessories,West,751,4,3004
2026-07-07,Smartphone,Electronics,North,966,9,8694
2026-06-13,Smartphone,Electronics,North,885,4,3540
2026-03-07,Smartphone,Electronics,West,314,3,942
2026-04-25,Smartphone,Electronics,South,656,3,1968
2026-01-18,Keyboard,Accessories,East,886,8,7088
2026-04-10,Smartphone,Electronics,West,545,2,1090
2026-04-29,Keyboard,Accessories,North,1024,9,9216
2026-03-03,Monitor,Electronics,North,33,8,264
2026-03-25,Smartphone,Electronics,East,857,1,857
2026-05-03,Laptop,Electronics,North,47,2,94
2026-06-12,Keyboard,Accessories,North,479,8,3832
2026-06-13,Keyboard,Accessories,East,306,3,918
2026-04-28,Smartphone,Electronics,North,863,9,7767
2026-01-01,Keyboard,Accessories,West,991,1,991
2026-02-26,Monitor,Electronics,West,1164,5,5820
2026-06-24,Keyboard,Accessories,West,184,1,184
2026-04-30,Monitor,Electronics,West,175,6,1050
2026-04-18,Headphones,Accessories,North,353,2,706
2026-07-20,Keyboard,Accessories,West,301,1,301
2026-04-29,Headphones,Accessories,South,504,5,2520
2026-02-28,Keyboard,Accessories,North,1028,3,3084
2026-07-25,Monitor,Electronics,South,295,5,1475
2026-02-12,Smartphone,Electronics,North,1082,8,8656
2026-06-20,Smartphone,Electronics,East,170,4,680
2026-03-21,Smartphone,Electronics,South,911,7,6377
2026-01-08,Smartphone,Electronics,North,148,7,1036
2026-01-08,Keyboard,Accessories,West,536,6,3216
2026-06-24,Smartphone,Electronics,North,330,7,2310
2026-06-20,Smartphone,Electronics,South,133,2,266
2026-05-25,Smartphone,Electronics,West,322,8,2576
2026-04-23,Monitor,Electronics,East,364,4,1456
2026-02-02,Laptop,Electronics,East,1096,5,5480
2026-04-15,Smartphone,Electronics,South,1029,6,6174
2026-03-04,Laptop,Electronics,North,1132,9,10188
2026-03-18,Laptop,Electronics,East,1145,4,4580
2026-04-12,Headphones,Accessories,South,416,9,3744
2026-01-23,Headphones,Accessories,North,841,7,5887
2026-03-30,Keyboard,Accessories,East,1108,7,7756
2026-05-23,Keyboard,Accessories,East,847,9,7623
2026-06-10,Laptop,Electronics,West,310,6,1860
2026-01-11,Headphones,Accessories,West,993,2,1986
2026-06-23,Laptop,Electronics,East,104,8,832
2026-02-17,Smartphone,Electronics,South,648,9,5832
2026-01-12,Keyboard,Accessories,South,323,5,1615
2026-07-26,Monitor,Electronics,West,802,7,5614
2026-03-11,Smartphone,Electronics,West,910,5,4550
2026-05-31,Headphones,Accessories,East,355,5,1775
2026-05-04,Laptop,Electronics,West,734,3,2202
2026-01-15,Monitor,Electronics,North,160,6,960
2026-01-19,Smartphone,Electronics,South,983,5,4915
2026-02-21,Headphones,Accessories,North,770,3,2310
2026-05-16,Smartphone,Electronics,West,689,2,1378
2026-01-02,Laptop,Electronics,North,663,9,5967
2026-04-04,Headphones,Accessories,East,1151,7,8057
2026-05-21,Laptop,Electronics,South,464,8,3712
2026-02-05,Monitor,Electronics,West,578,7,4046
2026-05-30,Keyboard,Accessories,South,1069,9,9621
2026-01-15,Smartphone,Electronics,West,397,9,3573
2026-05-05,Smartphone,Electronics,West,171,1,171
2026-06-03,Headphones,Accessories,North,69,8,552
2026-01-19,Monitor,Electronics,West,876,2,1752
2026-05-27,Monitor,Electronics,South,1012,7,7084
2026-03-10,Laptop,Electronics,East,1151,2,2302
2026-06-10,Keyboard,Accessories,North,681,5,3405
2026-05-23,Headphones,Accessories,West,669,9,6021
2026-03-19,Keyboard,Accessories,North,460,9,4140
2026-01-02,Headphones,Accessories,East,656,7,4592
2026-06-18,Laptop,Electronics,East,1018,8,8144
2026-07-07,Headphones,Accessories,West,1145,7,8015
2026-04-19,Monitor,Electronics,West,372,4,1488
2026-05-11,Laptop,Electronics,West,1113,9,10017
2026-07-15,Keyboard,Accessories,North,847,2,1694
2026-07-07,Keyboard,Accessories,West,179,5,895
2026-01-08,Smartphone,Electronics,East,1033,3,3099
2026-03-27,Smartphone,Electronics,East,789,6,4734
2026-07-28,Headphones,Accessories,South,135,8,1080
2026-05-30,Monitor,Electronics,South,472,9,4248
2026-02-24,Smartphone,Electronics,South,689,9,6201
2026-02-24,Monitor,Electronics,North,999,3,2997
2026-05-24,Keyboard,Accessories,East,367,3,1101
2026-04-14,Keyboard,Accessories,West,383,1,383
2026-05-01,Keyboard,Accessories,West,425,2,850
2026-07-19,Laptop,Electronics,North,803,6,4818
2026-05-22,Monitor,Electronics,North,133,2,266
2026-04-15,Keyboard,Accessories,South,780,9,7020
2026-07-12,Headphones,Accessories,East,330,6,1980
2026-06-12,Headphones,Accessories,East,361,5,1805
2026-01-12,Laptop,Electronics,South,697,2,1394
2026-06-22,Headphones,Accessories,South,153,3,459
2026-03-21,Monitor,Electronics,South,92,5,460
2026-06-12,Smartphone,Electronics,East,149,3,447
2026-07-29,Monitor,Electronics,South,285,9,2565
2026-07-13,Laptop,Electronics,North,841,1,841
2026-06-13,Laptop,Electronics,South,355,6,2130
2026-05-05,Monitor,Electronics,East,502,9,4518
2026-05-14,Laptop,Electronics,North,1160,2,2320
2026-05-16,Keyboard,Accessories,South,983,9,8847
2026-03-20,Monitor,Electronics,North,1055,4,4220
2026-05-26,Keyboard,Accessories,West,466,6,2796
2026-06-09,Keyboard,Accessories,East,273,2,546
2026-03-01,Headphones,Accessories,East,1030,5,5150
2026-07-30,Smartphone,Electronics,South,364,2,728
2026-05-06,Headphones,Accessories,South,1099,9,9891
2026-03-24,Laptop,Electronics,East,168,9,1512
2026-06-05,Headphones,Accessories,East,1123,1,1123
2026-01-04,Monitor,Electronics,East,804,5,4020
2026-04-13,Monitor,Electronics,West,839,4,3356
2026-05-04,Smartphone,Electronics,East,787,3,2361
2026-01-07,Headphones,Accessories,West,1001,7,7007
2026-03-27,Keyboard,Accessories,South,405,5,2025
2026-03-20,Keyboard,Accessories,South,920,1,920
2026-01-13,Keyboard,Accessories,South,261,5,1305
2026-06-30,Smartphone,Electronics,North,192,4,768
2026-07-28,Headphones,Accessories,North,719,5,3595
2026-02-21,Keyboard,Accessories,South,529,4,2116
2026-02-03,Monitor,Electronics,West,613,8,4904
2026-06-29,Keyboard,Accessories,South,573,5,2865
2026-02-11,Keyboard,Accessories,North,124,1,124
2026-04-30,Laptop,Electronics,North,148,2,296
2026-03-01,Keyboard,Accessories,North,1053,2,2106
2026-02-27,Monitor,Electronics,West,808,7,5656
2026-02-03,Headphones,Accessories,South,219,1,219
2026-03-20,Laptop,Electronics,West,875,3,2625
2026-03-10,Monitor,Electronics,North,106,5,530
2026-01-08,Keyboard,Accessories,West,106,1,106
2026-04-19,Headphones,Accessories,West,683,1,683
2026-05-13,Monitor,Electronics,North,251,4,1004
